# ln(den) G1 G2 G3 G4 G5 G6
7.875389103192381723e-01 -1.829576102743964983e+00 1.706522464529368066e-01 -3.121236000000000566e+00 1.077803999999999984e+00 -6.724871999999999517e+00 -7.076591999999999327e-01
-6.879029662539819512e-01 7.254091495365471154e+00 -5.430236697579667871e-01 4.107143999999999906e+00 1.037675999999999821e+00 3.963383999999999574e+00 -2.642171999999999521e+00
1.963942198790313398e+00 8.777724703032331321e-01 1.054284382639803397e+00 -9.490019999999999012e-02 3.867479999999999252e-01 -2.462280000000000246e+00 4.010279999999999845e+00
2.707888033020957153e+00 1.063903565497744452e+00 -3.028004843071751551e-01 -9.200460000000000305e-01 -2.605164000000000257e+00 -2.134055999999999731e+00 2.526791999999999927e-01
-6.749613895503937533e-01 -1.969576073583928721e+00 -1.062580404461535011e+00 -1.078789199999999671e+00 6.253667999999998894e-01 3.764111999999999458e+00 -5.011703999999999937e+00
1.909218644088826133e+00 -2.467429327347038792e-01 1.670227335793622037e-01 -4.590876000000001511e+00 -4.263240000000001473e-01 -1.738320000000000309e+00 2.953656000000000059e+00
-8.202593558144523067e-01 4.748435418928071972e-01 -3.251773986340577238e+00 -2.360388000000000819e+00 5.786340000000000927e+00 -3.023292000000001423e+00 4.617144000000000109e-02
1.324211475719812570e-01 1.560931484243543110e+00 -2.078643233932287782e+00 5.881259999999999266e-01 -1.905587999999999838e+00 4.342188000000000159e+00 -3.185783999999999949e+00
4.191803829267575776e-01 4.590746412147280076e+00 -1.444508642458629755e+00 7.472339999999999538e-01 3.122279999999999944e+00 2.990507999999999722e+00 3.412271999999999750e+00
2.188833728939130197e+00 1.212076197560650215e+00 -6.100061556966012155e-01 -1.640423999999999438e+00 2.918663999999999259e+00 -2.921532000000000018e+00 1.533371999999999735e+00
-1.545639786101868918e-01 5.778382044988290112e+00 -2.782358660051987842e-01 -5.243532000000000082e+00 -4.145232000000000028e+00 4.482180000000000053e-01 -1.982435999999999865e+00
-1.124170780479257226e-01 -5.090084261194520288e+00 -9.219138774749067178e-01 1.652303999999999773e+00 3.044783999999999491e+00 -1.489031999999999689e+00 3.834779999999999411e+00
-1.458129367701946455e+00 5.785950452202207828e+00 -1.919415240403263556e-01 -4.696884000000000059e-01 -8.068212000000000828e+00 -2.086488000000000120e+00 3.265055999999999514e+00
